Sample,Class,Ergothioneine,b-Alanine,Oxoglutaric acid (a-Ketogluturate),Sucrose,Fructose,Xylose,Galactose,Mannose,Arabinose,a-Lactose,Glucose,Glucose-1-phosphate,Aspartic acid,Citric acid,Anserine nitrate,Trigonelline,Glutamine,1-Methylnicotinamide,Niacin (Nicotinic acid),Quinolinic acid,Nicotinamide (Niacinamide),Acetylcholine,Adenine,Betaine,Acetamide,Cytosine,Citrulline,2-Aminobutyric acid,Creatinine,trans-Aconitic acid,Choline,"2,3-Butanediol",2-Aminoisobutyric acid,4-Aminohippuric acid,Phenylalanine,Valine,Adipic acid,"N,N-Dimethylglycine",Tryptophan,Folic acid,Threonine,Dimethylamine,"3,4-Dihydroxymandelic acid",Glutaric acid,Maltose,Ethanolamine,Serine,Glucuronic acid,Proline,Trimethylamine-N-oxide,Fucose,Hippuric acid,Glycolic acid,scyllo-Inositol,myo-Inositol,Hypoxanthine,Isethionic acid,Kynurenine,Homovanillic acid,Homocystine,Inosine,trans-4-Hydroxyproline,Cysteine,Thymine,Suberic acid,Alanine,Uracil,Isoleucine,Trimethylamine,Phosphoserine,Glutamic acid,Asparagine,Lipoic acid,3-Methylhistidine,Sarcosine,Methylamine,Leucine,Histidine,Ornithine,Glycine,Lysine,Methionine,Trehalose,Acetaldehyde,N-Acetylalanine,N-Acetylaspartate (NAA),N-Acetylglutamic acid,N-Acetylglutamine,2-Aminoadipic acid,Capric acid,Glutathione (oxidised),Glutathione (reduced),Glycerol-3-phosphate,Histamine,Homocarnosine,3-Hydroxybutyric acid,3-Methyl-2-oxovaleric acid,4-Methyl-2-oxovaleric acid,Pantothenic acid,Guanosine-5-monophosphate (GMP),Pyruvic acid,Ribose,Adenosine 5-triphosphate,Uridine,Glucose-6-phosphate,5-Hydroxyindole-3-acetic acid,Adenosine 5-monophosphate,cis-Aconitic acid,Argininosuccinic acid,Agmatine,5-Aminolevulinic acid,Cytidine,Adenosine,Phosphocreatine,Adenosine 5-diphosphate,Indoxyl sulfate,Acetic acid,4-Aminobutyric acid,Butyric acid,Carnitine,Deoxycholic acid,Creatine,"Adenosine 3,5-cyclic monophosphate",trans-Cinnamic acid,Cholic Acid,5-Hydroxylysine,Pyroglutamic acid,Phosphoenolpyruvic acid,Hypotaurine,Isocitric acid,Lactic acid,Malic acid,Maleic acid,Malonic acid,Sorbitol,Urocanic acid,N-Acetylmethionine,Arginine,Diatrizoic acid,Ethylenediaminetetraacetic acid (EDTA),Glyceric acid,2-Hydroxyisobutyric acid,2-Hydroxy-3-methyl butyric acid,2-Oxobutyric acid,Malonyl coenzyme A,Acetoacetate,N-Acetyllysine,Formic acid,Fumaric acid,Cysteamine,Isobutyric acid,Succinic acid,Tartaric acid,Propionic acid,Quinic acid,Shikimic acid,3-Phosphoglyceric acid,Xylitol,Oxaloacetic acid,Cytidine 5-diphosphate,Glycerol,Nicotinamide adenine dinucleotide hydrate (NAD),Guanosine 5-triphosphate,Inosine-5'-monophosphate,Uridine 5-diphosphoglucose,Homocysteine,Phosphoethanolamine,Spermidine,Guanosine 5-diphosphate,Porphobilinogen,Uridine-5-diphospho-N-acetylglucosamine,Galactose-1-phosphate,Glucosamine-6-phosphate,N-Acetylglucosamine,N-acetylglucosamine-1-phosphate,Acetoin,2-hydroxybutyric acid,3-aminoisobutyric acid,Homoserine,3-aminobutyric acid,Taurine,Uridine 5-diphosphate,Uridine 5-triphosphate,Uridine-5-diphosphoglucuronic acid,Nicotinamide mononucleotide (NMN),Glycerophosphorylcholine,Carnosine (beta-alanyl_L-histidine),Sucrose-6-phosphate,Uridine-5-diphosphogalactose,N-Acetylaspartylglutamate (NAAG),Uridine 5-monophosphate,Cytidine 5-triphosphate,N-Acetylneuraminic acid,Riboflavin 5-adenosine diphosphate (Flavin adenine dinucleotide),Hydroxyglutaric acid,Valeric acid,Isovaleric acid,Methyl isobutyric acid,2-methylbutyric acid,Taurocholic acid,Trehalose-6-phosphate,Methanol,Ethanol,Chloroform,3-Hydroxy-3-methyl butyric acid,Thiamine,Phosphocholine,Tyrosine
1,Group A,9.94E-04,,,,4.00E-02,,,,,,,,,4.91E-03,4.46E-03,,6.07E-02,,,,,3.97E-03,,,,,,,1.26E-02,1.10E-03,1.76E-04,,,,,1.30E-02,1.21E-02,,,,,1.45E-04,,2.22E-02,,,,,,,,,2.61E-03,,,,,,,,,,,3.69E-04,,4.08E-02,,2.91E-02,1.64E-04,,,1.19E-02,,1.41E-02,1.41E-03,,4.52E-02,,3.57E-03,,,4.68E-03,,,,,,1.32E-03,4.16E-02,,,2.35E-02,,,,6.53E-03,6.68E-05,3.67E-04,5.42E-03,,,,,,,,,,1.68E-02,2.57E-02,,,,,,,,,,5.84E-03,,,,,,,,,,,4.98E-02,,,1.90E-05,,,,,,4.58E-03,,7.32E-04,,,,4.00E-04,,4.23E-02,,7.64E-03,3.29E-05,2.15E-02,,1.17E-03,,,3.03E-02,,,,5.11E-02,,,,2.08E-02,,3.76E-02,,,,,,2.61E-02,1.13E-03,1.09E-02,8.24E-04,,,,,3.47E-02,,,,,7.03E-03,2.51E-02,5.27E-02,,,,,,,,,,,1.65E-03,,,,,,2.17E-03,,,8.56E-03
2,Group B,1.31E-03,,,,,,,,,,6.09E-02,,,2.74E-03,3.16E-02,,5.90E-02,,,,,1.40E-03,,,,,,,,1.46E-03,,,,,,1.19E-02,,,,,,,,4.80E-03,,,,,,,,,,,8.95E-02,,,,6.27E-05,,,,,4.40E-06,,6.72E-02,,2.49E-02,,,,,,1.72E-02,2.51E-03,,3.67E-02,,3.41E-02,,,4.93E-03,,,,,,7.14E-04,,,,,,,1.81E-03,,1.96E-03,1.15E-03,,,,,8.23E-04,,4.15E-02,,,,1.86E-02,,,,,7.37E-03,4.54E-03,,6.82E-02,,,,,8.15E-04,,,,,,,,,8.07E-02,,,,,,,7.24E-02,,9.52E-03,,8.96E-04,,,8.58E-03,,,6.85E-02,,1.97E-02,,1.22E-02,,8.37E-04,,,4.91E-02,,,,8.29E-02,,,,,,6.03E-02,,,2.54E-02,4.34E-03,,,,4.62E-03,7.78E-04,,,,,2.29E-02,,,,,2.26E-02,4.46E-02,8.55E-02,,,,,,,,9.75E-04,,,1.04E-03,,,,,,3.12E-03,,,1.14E-02
3,Group A,3.04E-03,,,,3.16E-02,,,,,,,,,4.67E-03,7.56E-03,,3.54E-02,,,,,9.10E-04,,,,,3.62E-02,,1.71E-02,7.84E-03,,,,,,1.02E-02,,,,,,,,4.26E-03,,,,,,,,,4.84E-03,,,,,,,,,,,9.47E-04,,3.56E-02,,2.39E-02,1.49E-04,,,,,1.11E-02,1.06E-03,,3.96E-02,,3.82E-02,,,4.45E-03,,,,,,,,,2.17E-02,1.85E-02,,,,,1.44E-03,7.93E-04,2.39E-03,,3.46E-04,,1.19E-02,,2.02E-02,,,4.27E-04,1.20E-02,3.74E-02,,,,,,,,,,1.54E-02,,,,,,,,,,2.51E-02,3.93E-02,,,,,,5.00E-04,,,4.34E-03,,3.59E-04,,,,,1.53E-03,3.33E-02,,7.49E-03,4.98E-04,1.25E-02,,2.32E-03,,,2.39E-02,,,,4.03E-02,,9.03E-03,,,,,,,2.22E-02,5.50E-03,,,,1.39E-02,6.35E-04,,,,,,,,,,7.09E-08,3.19E-02,,1.13E-02,,,,,,,,,,1.76E-03,,,,,,1.93E-03,1.49E-04,,8.59E-03
4,Group D,9.80E-04,,,,5.35E-02,,,,,,5.02E-02,,,2.18E-04,6.74E-03,,8.12E-02,,,,,2.27E-03,,,,,,,1.67E-02,,,,,,,1.02E-02,1.09E-02,,,,,2.83E-05,,8.85E-03,,,,,,,,,6.80E-03,,,,,,,,,,,,,6.42E-02,,3.00E-02,3.31E-05,,,,,1.77E-02,9.92E-04,,2.34E-02,,6.46E-02,,,4.45E-03,,,,,,,2.46E-02,,,,,4.14E-03,,3.19E-04,1.47E-03,8.57E-04,,,,,1.28E-02,,3.42E-02,,,,2.13E-02,2.16E-02,,,,,5.47E-06,,5.62E-02,,,6.31E-07,,7.02E-04,,,,,,,,,6.65E-02,,,,,,,,,1.43E-02,,1.05E-03,,,,,,5.65E-02,,3.19E-03,1.07E-04,1.36E-02,,,,,4.05E-02,,,,6.83E-02,,,,,,3.78E-02,,,,6.30E-03,,,,3.01E-03,9.22E-04,,,,,3.32E-02,,,,,1.44E-02,2.04E-02,7.04E-02,,,,,,,,1.20E-03,,,1.76E-03,,,,,,3.51E-03,,,8.67E-03
5,Group C,,,,,,,,,,,5.41E-02,,,2.70E-03,7.40E-03,,8.74E-02,,,,,2.44E-03,,,,,,,1.86E-02,4.56E-04,8.63E-04,,,,,1.04E-02,,,,,,,,7.02E-03,,,,,,,,,6.89E-03,,,,,,,,,,,,,5.74E-02,,3.09E-02,,,,,,1.40E-02,,,1.69E-02,,6.96E-02,,,3.84E-03,,,,,,2.01E-06,,,,3.38E-02,,7.45E-04,1.06E-02,,4.49E-03,,,,7.90E-04,,,,3.68E-02,,,7.29E-05,2.46E-02,2.12E-04,,,,,,,5.13E-02,,,1.04E-05,,,,,,,,,,,7.16E-02,,,,,,1.65E-07,,,2.18E-02,,1.96E-03,,,2.08E-02,,,6.08E-02,,,2.40E-04,1.32E-02,9.22E-04,4.07E-04,,,4.36E-02,,,,7.35E-02,,,,,,6.89E-02,,,,1.18E-02,,,,9.56E-03,2.02E-03,,,,,1.46E-02,,,,,2.75E-02,1.91E-02,7.59E-02,,,,,,,,,,,,,,,,,6.16E-03,,,5.94E-03
6,Group C,,,,,,,,,,,6.61E-02,,8.11E-02,2.51E-03,,,6.84E-02,,,,,1.21E-03,,,,,,,,7.11E-04,,,1.90E-04,,,8.54E-03,1.71E-02,,,,,,,8.33E-03,,,,,4.07E-02,,,,,,9.72E-02,,,,,,,,,,,6.56E-02,,3.11E-02,6.42E-06,,,,,1.35E-02,7.23E-04,,1.06E-02,,,,,4.87E-03,,,,,4.62E-04,1.69E-06,6.39E-02,,,,,,,,1.37E-03,4.94E-04,,,7.23E-04,,,,4.50E-02,,,,2.75E-03,6.64E-04,,,,2.32E-06,,,6.60E-02,,1.86E-04,3.76E-03,,,,,,,,,,,8.76E-02,,,,,,,7.87E-02,,2.20E-02,,1.86E-03,,,1.52E-02,4.98E-04,,7.44E-02,,2.83E-02,3.55E-04,1.31E-02,5.11E-03,4.49E-04,,,5.33E-02,,,,9.00E-02,,,,,,3.40E-02,,,,1.19E-02,,,2.40E-03,7.75E-03,1.76E-03,,,,,,,,,,5.46E-03,1.11E-02,9.28E-02,,,,,,,,,6.53E-04,,,,,,,,5.95E-03,,3.13E-07,5.26E-03
7,Group A,1.04E-04,,,,3.87E-02,,,,,,3.63E-02,5.60E-02,,1.94E-03,9.74E-03,,5.87E-02,,,,,1.39E-03,,,,,,,1.00E-02,6.43E-04,2.35E-04,,,,2.19E-03,9.53E-03,7.85E-03,,,,,,,4.57E-03,,,,,,,,,3.30E-03,,,,,,,,,,,,5.42E-03,4.66E-02,,3.06E-02,1.66E-04,,,,,1.61E-02,6.17E-04,,3.75E-02,,4.67E-02,,,4.42E-03,,,,,,2.74E-03,1.91E-02,,,,,,,8.39E-04,2.57E-03,7.32E-04,,,7.99E-04,,,,,,,,1.49E-02,2.79E-02,,,,,,,4.06E-02,,,,,,,,,,,,,,4.81E-02,,,1.54E-05,,,,,,1.16E-02,,9.66E-04,,,,,4.24E-04,4.08E-02,,7.67E-03,1.96E-04,1.41E-02,,1.20E-03,,,2.93E-02,,,,4.94E-02,,,,1.75E-02,,2.55E-02,,,,6.94E-03,,2.52E-02,,2.57E-03,8.64E-04,,,,,2.80E-02,,,,,5.42E-03,2.29E-02,5.09E-02,,,,,,,,,,,1.89E-03,,,,,,2.99E-03,,,6.27E-03
8,Group B,1.50E-07,,,,7.54E-02,,,,,,7.08E-02,,9.52E-02,1.03E-03,2.12E-04,,1.09E-01,,,,,2.17E-03,,,,,,,,1.16E-03,,,,,,1.04E-02,,,,,,,,,,,,,,,,,5.45E-03,,1.04E-01,,,,,,,,,,,6.24E-02,,3.72E-02,1.87E-04,,,,,2.21E-02,4.48E-04,,2.34E-02,,8.66E-02,,,4.31E-03,,,,,,4.27E-04,,,,,,,,,1.31E-03,,,,,,4.06E-06,,4.82E-02,,,,1.07E-02,1.79E-02,,,,3.74E-03,3.99E-04,,7.93E-02,,,1.30E-03,,,,,,,,,,,9.38E-02,,,,,,,,,1.47E-02,,1.20E-03,,,,,,5.77E-02,,3.68E-02,2.09E-04,1.34E-02,,9.21E-04,,,5.71E-02,,,,9.63E-02,,,,,,,,,,1.01E-02,,,,5.89E-03,1.21E-03,,,,,2.35E-02,,,,,1.28E-02,,9.94E-02,,3.38E-03,,,,,,,,,2.05E-03,,,,,,4.43E-03,,,5.69E-03
9,Group A,3.33E-04,,,,,,,,,,2.78E-02,,,2.39E-03,1.59E-02,,4.49E-02,,,,,1.67E-03,,,,,,,1.24E-02,1.26E-03,,,,,,1.11E-02,,,,,,,,4.34E-03,,,,,,,,,4.77E-03,,,,,,,,,,,,,6.12E-02,,3.24E-02,1.46E-04,,,,,1.88E-02,8.38E-04,,3.71E-02,,3.57E-02,,,5.12E-03,,,,,,1.83E-03,,,,,,2.29E-03,,4.91E-03,1.51E-03,1.15E-03,,,1.09E-03,,8.05E-03,,1.89E-02,,,8.28E-07,1.26E-02,3.50E-02,,,,,3.38E-08,,3.11E-02,,,1.48E-03,,,,,,,,,,,3.68E-02,,,6.96E-05,,,,,,1.26E-02,,1.19E-03,,,,4.95E-04,,3.12E-02,,8.06E-03,1.68E-04,1.41E-02,,8.48E-04,,,2.24E-02,,,,3.78E-02,,,,,,2.43E-02,,,,3.55E-03,,,,3.48E-03,8.37E-04,,,,,,,,,,4.72E-03,3.01E-02,3.90E-02,,,,,,,,1.58E-03,,,1.89E-03,,,,,,2.54E-03,,,7.67E-03
10,Group B,8.31E-04,,,,,,,,,,5.18E-02,,7.76E-02,3.17E-03,,,7.37E-02,,,,,1.07E-03,,,,,,,,7.26E-04,,,,,,1.11E-02,9.15E-03,,,,,,,4.93E-03,,,,,,,,,5.25E-03,,7.62E-02,,,,,,,,,,,5.96E-02,,2.65E-02,1.60E-04,,,1.01E-02,,1.53E-02,8.47E-04,,1.74E-02,,6.67E-02,,,3.87E-03,,,,,,,,,3.79E-02,3.24E-02,,3.91E-04,,,2.67E-03,6.95E-04,,,,,,,3.53E-02,,,,2.16E-02,4.97E-03,,,,8.56E-03,,,5.72E-02,,,,,3.03E-03,,,,,,,,,6.87E-02,,,,,,,6.16E-02,,1.46E-02,,1.26E-03,,,1.37E-02,,,5.83E-02,,,1.12E-04,9.60E-03,,4.80E-04,,,4.18E-02,,,,7.05E-02,,,,,,4.22E-02,,,,7.19E-03,,3.60E-02,1.71E-03,6.19E-03,8.92E-04,,,,,1.34E-02,1.06E-03,,,,1.18E-02,3.32E-02,7.27E-02,,,,,,,,,,,,,,,,,3.42E-03,,,8.57E-03
